group_name	categ	tick	meta_order
"handgun_004"	"round"	6	2
"handgun_004"	"round"	7	2
"handgun_005"	"round"	1	2
"handgun_005"	"round"	2	2
"handgun_005"	"round"	3	2
"handgun_005"	"round"	4	2
"handgun_005"	"round"	5	2
"handgun_005"	"round"	6	2
"handgun_005"	"round"	7	2
"handgun_006"	"round"	1	2
"handgun_006"	"round"	2	2
"handgun_006"	"round"	3	2
"handgun_006"	"round"	4	2
"handgun_006"	"round"	5	2
"handgun_006"	"round"	6	2
"handgun_006"	"round"	7	2
"handgun_007"	"round"	1	2
"handgun_007"	"round"	2	2
"handgun_007"	"round"	3	2
"handgun_007"	"round"	4	2
"handgun_007"	"round"	5	2
"handgun_007"	"round"	6	2
"handgun_007"	"round"	7	2
"handgun_008"	"round"	1	2
"handgun_008"	"round"	2	2
"handgun_008"	"round"	3	2
"handgun_008"	"round"	4	2
"handgun_008"	"round"	5	2
"handgun_008"	"round"	6	2
"handgun_008"	"round"	7	2
"elephant_001"	"box"	1	3
"elephant_001"	"box"	2	3
"elephant_001"	"box"	3	3
"elephant_001"	"box"	4	3
"elephant_001"	"box"	5	3
"elephant_001"	"box"	6	3
"elephant_001"	"box"	7	3
"elephant_002"	"box"	1	3
"elephant_002"	"box"	2	3
"elephant_002"	"box"	3	3
"elephant_002"	"box"	4	3
"elephant_002"	"box"	5	3
"elephant_002"	"box"	6	3
"elephant_002"	"box"	7	3
"elephant_005"	"box"	1	3
"elephant_005"	"box"	2	3
"elephant_005"	"box"	3	3
"elephant_005"	"box"	4	3
"elephant_005"	"box"	5	3
"elephant_005"	"box"	6	3
"elephant_005"	"box"	7	3
"elephant_006"	"box"	1	3
"elephant_006"	"box"	2	3
"elephant_006"	"box"	3	3
"elephant_006"	"box"	4	3
"elephant_006"	"box"	5	3
"elephant_006"	"box"	6	3
"elephant_006"	"box"	7	3
"elephant_007"	"box"	1	3
"elephant_007"	"box"	2	3
"elephant_007"	"box"	3	3
"elephant_007"	"box"	4	3
"elephant_007"	"box"	5	3
"elephant_007"	"box"	6	3
"elephant_007"	"box"	7	3
"fish_001"	"box"	1	3
"fish_001"	"box"	2	3
"fish_001"	"box"	3	3
"fish_001"	"box"	4	3
"fish_001"	"box"	5	3
"fish_001"	"box"	6	3
"fish_001"	"box"	7	3
"fish_002"	"box"	1	3
"fish_002"	"box"	2	3
"fish_002"	"box"	3	3
"fish_002"	"box"	4	3
"fish_002"	"box"	5	3
"fish_002"	"box"	6	3
"fish_002"	"box"	7	3
"fish_004"	"box"	1	3
"fish_004"	"box"	2	3
"fish_004"	"box"	3	3
"fish_004"	"box"	4	3
"fish_004"	"box"	5	3
"fish_004"	"box"	6	3
"fish_004"	"box"	7	3
"fish_005"	"box"	1	3
"fish_005"	"box"	2	3
"fish_005"	"box"	3	3
"fish_005"	"box"	4	3
"fish_005"	"box"	5	3
"fish_005"	"box"	6	3
"fish_005"	"box"	7	3
"fish_006"	"box"	1	3
"fish_006"	"box"	2	3
"fish_006"	"box"	3	3
"fish_006"	"box"	4	3
"fish_006"	"box"	5	3
"fish_006"	"box"	6	3
"fish_006"	"box"	7	3
"fish_008"	"box"	1	3
"fish_008"	"box"	2	3
"fish_008"	"box"	3	3
"fish_008"	"box"	4	3
"fish_008"	"box"	5	3
"fish_008"	"box"	6	3
"fish_008"	"box"	7	3
"fish_009"	"box"	1	3
"fish_009"	"box"	2	3
"fish_009"	"box"	3	3
"fish_009"	"box"	4	3
"fish_009"	"box"	5	3
"fish_009"	"box"	6	3
"fish_009"	"box"	7	3
"piano_001"	"box"	1	3
"piano_001"	"box"	2	3
"piano_001"	"box"	3	3
"piano_001"	"box"	4	3
"piano_001"	"box"	5	3
"piano_001"	"box"	6	3
"piano_001"	"box"	7	3
"piano_002"	"box"	1	3
"piano_002"	"box"	2	3
"piano_002"	"box"	3	3
"piano_002"	"box"	4	3
"piano_002"	"box"	5	3
"piano_002"	"box"	6	3
"piano_002"	"box"	7	3
"piano_003"	"box"	1	3
"piano_003"	"box"	2	3
"piano_003"	"box"	3	3
"piano_003"	"box"	4	3
"piano_003"	"box"	5	3
"piano_003"	"box"	6	3
"piano_003"	"box"	7	3
"piano_005"	"box"	1	3
"piano_005"	"box"	2	3
"piano_005"	"box"	3	3
"piano_005"	"box"	4	3
"piano_005"	"box"	5	3
"piano_005"	"box"	6	3
"piano_005"	"box"	7	3
"piano_007"	"box"	1	3
"piano_007"	"box"	2	3
"piano_007"	"box"	3	3
"piano_007"	"box"	4	3
"piano_007"	"box"	5	3
"piano_007"	"box"	6	3
"piano_007"	"box"	7	3
"piano_008"	"box"	1	3
"piano_008"	"box"	2	3
"piano_008"	"box"	3	3
"piano_008"	"box"	4	3
"piano_008"	"box"	5	3
"piano_008"	"box"	6	3
"piano_008"	"box"	7	3
"piano_009"	"box"	1	3
"piano_009"	"box"	2	3
"piano_009"	"box"	3	3
"piano_009"	"box"	4	3
"piano_009"	"box"	5	3
"piano_009"	"box"	6	3
"piano_009"	"box"	7	3
"slrcamera_001"	"box"	1	3
"slrcamera_001"	"box"	2	3
"slrcamera_001"	"box"	3	3
"slrcamera_001"	"box"	4	3
"slrcamera_001"	"box"	5	3
"slrcamera_001"	"box"	6	3
"slrcamera_001"	"box"	7	3
"slrcamera_002"	"box"	1	3
"slrcamera_002"	"box"	2	3
"slrcamera_002"	"box"	3	3
"slrcamera_002"	"box"	4	3
"slrcamera_002"	"box"	5	3
"slrcamera_002"	"box"	6	3
"slrcamera_002"	"box"	7	3
"slrcamera_003"	"box"	1	3
"slrcamera_003"	"box"	2	3
"slrcamera_003"	"box"	3	3
"slrcamera_003"	"box"	4	3
"slrcamera_003"	"box"	5	3
"slrcamera_003"	"box"	6	3
"slrcamera_003"	"box"	7	3
"slrcamera_004"	"box"	1	3
"slrcamera_004"	"box"	2	3
"slrcamera_004"	"box"	3	3
"slrcamera_004"	"box"	4	3
"slrcamera_004"	"box"	5	3
"slrcamera_004"	"box"	6	3
"slrcamera_004"	"box"	7	3
"slrcamera_005"	"box"	1	3
"slrcamera_005"	"box"	2	3
"slrcamera_005"	"box"	3	3
"slrcamera_005"	"box"	4	3
"slrcamera_005"	"box"	5	3
"slrcamera_005"	"box"	6	3
"slrcamera_005"	"box"	7	3
"slrcamera_006"	"box"	1	3
"slrcamera_006"	"box"	2	3
"slrcamera_006"	"box"	3	3
"slrcamera_006"	"box"	4	3
"slrcamera_006"	"box"	5	3
"slrcamera_006"	"box"	6	3
"slrcamera_006"	"box"	7	3
"slrcamera_007"	"box"	1	3
"slrcamera_007"	"box"	2	3
"slrcamera_007"	"box"	3	3
"slrcamera_007"	"box"	4	3
"slrcamera_007"	"box"	5	3
"slrcamera_007"	"box"	6	3
"slrcamera_007"	"box"	7	3
"slrcamera_008"	"box"	1	3
"slrcamera_008"	"box"	2	3
"slrcamera_008"	"box"	3	3
"slrcamera_008"	"box"	4	3
"slrcamera_008"	"box"	5	3
"slrcamera_008"	"box"	6	3
"slrcamera_008"	"box"	7	3
"slrcamera_009"	"box"	1	3
"slrcamera_009"	"box"	2	3
"slrcamera_009"	"box"	3	3
"slrcamera_009"	"box"	4	3
"slrcamera_009"	"box"	5	3
"slrcamera_009"	"box"	6	3
"slrcamera_009"	"box"	7	3
"car_convertible_001"	"horiz"	1	4
"car_convertible_001"	"horiz"	2	4
"car_convertible_001"	"horiz"	3	4
"car_convertible_001"	"horiz"	4	4
"car_convertible_001"	"horiz"	5	4
"car_convertible_001"	"horiz"	6	4
"car_convertible_001"	"horiz"	7	4
"car_convertible_002"	"horiz"	1	4
"car_convertible_002"	"horiz"	2	4
"car_convertible_002"	"horiz"	3	4
"car_convertible_002"	"horiz"	4	4
"car_convertible_002"	"horiz"	5	4
"car_convertible_002"	"horiz"	6	4
